epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,262.616,1.23281,0.6675,1.06453,0.99866,1,0.995,0.57363,1.45468,0.63116,1.23924,0.000713,0.000713,0.000713
67,266.498,1.22117,0.65713,1.07102,0.99861,1,0.995,0.58197,1.47557,0.62439,1.25126,0.0006932,0.0006932,0.0006932
68,270.49,1.21855,0.64995,1.10278,0.99861,1,0.995,0.58197,1.47557,0.62439,1.25126,0.0006734,0.0006734,0.0006734
69,274.431,1.225,0.72953,1.10434,0.99861,1,0.995,0.59266,1.44644,0.60675,1.22574,0.0006536,0.0006536,0.0006536
70,278.094,1.17329,0.63814,1.07211,0.99861,1,0.995,0.59266,1.44644,0.60675,1.22574,0.0006338,0.0006338,0.0006338
71,281.909,1.22835,0.68752,1.10111,0.99859,1,0.995,0.58162,1.42531,0.59424,1.21328,0.000614,0.000614,0.000614
72,285.703,1.15386,0.64865,1.08802,0.99859,1,0.995,0.58162,1.42531,0.59424,1.21328,0.0005942,0.0005942,0.0005942
73,289.76,1.20167,0.69339,1.12784,0.99852,1,0.995,0.5789,1.42245,0.59087,1.21766,0.0005744,0.0005744,0.0005744
74,293.45,1.24551,0.64878,1.12222,0.99852,1,0.995,0.5789,1.42245,0.59087,1.21766,0.0005546,0.0005546,0.0005546
75,297.334,1.1561,0.62743,1.05702,0.99854,1,0.995,0.5707,1.42525,0.59452,1.2207,0.0005348,0.0005348,0.0005348
76,301.17,1.16988,0.62524,1.03387,0.99854,1,0.995,0.5707,1.42525,0.59452,1.2207,0.000515,0.000515,0.000515
77,304.897,1.18034,0.63785,1.09862,0.99855,1,0.995,0.56652,1.44178,0.60431,1.23506,0.0004952,0.0004952,0.0004952
78,308.572,1.16432,0.63231,1.10009,0.99855,1,0.995,0.56652,1.44178,0.60431,1.23506,0.0004754,0.0004754,0.0004754
79,312.434,1.17767,0.60321,1.07042,0.99852,1,0.995,0.57671,1.43714,0.60365,1.22813,0.0004556,0.0004556,0.0004556
80,316.122,1.21037,0.61935,1.11092,0.99852,1,0.995,0.57671,1.43714,0.60365,1.22813,0.0004358,0.0004358,0.0004358
81,319.939,1.20704,0.65499,1.12534,0.98136,0.98276,0.97981,0.5769,1.42709,0.59009,1.21131,0.000416,0.000416,0.000416
82,323.75,1.14204,0.652,1.07344,0.98136,0.98276,0.97981,0.5769,1.42709,0.59009,1.21131,0.0003962,0.0003962,0.0003962
83,327.545,1.13916,0.59527,1.0327,0.98132,0.98276,0.97912,0.58156,1.42726,0.58748,1.21187,0.0003764,0.0003764,0.0003764
